Date,Business Activity NSA,Business Activity SA,New Sales Orders NSA,New Sales Orders SA,Backlog of Sales Orders NSA,Inventories NSA,Inventories SA,Suppliers Performance NSA (not inverted),Suppliers Performance SA (inverted),Prices NSA,Employment NSA,Employment SA,Purchasing Commitments NSA,Exp. Business Conditions NSA,PMI NSA,PMI SA
31/07/2023,39.2,38.1,39.2,43.4,31.5,46.9,48.5,45.3,59,64.8,43.8,47.4,46,53.9,44.8,47.3
30/06/2023,41.1,45.6,37.9,43.5,48.2,46,47.4,71.3,43.5,47.9,35.8,52.4,45.5,47.6,45.5,47.6
31/05/2023,48.4,47.5,37.9,48.4,51.1,42.9,53.9,77,45.2,45.6,43.7,43.7,49.7,49.2,49.7,49.2
30/04/2023,38.5,44.3,36.5,53.9,58.8,46.2,53,75,43.3,45.4,49,51,45.8,49.8,45.8,49.8
31/03/2023,47.6,48.1,46.9,48.5,38.9,50,47.6,44.3,50.8,78.1,44.5,45.4,44.5,55.5,49,48.1
28/02/2023,46.8,45.5,48.4,49.4,46.8,48.4,46.5,47.6,55.3,78.6,48.4,47.1,41.3,46.8,48.9,48.8
31/01/2023,45.7,56,45,49.9,37.1,50,53.1,42,57.6,69.3,47.1,48.4,48.6,63.8,49.2,53
31/12/2022,39.2,45.2,47.1,53.8,42.3,46.2,46.3,34.3,65.8,64.4,53.8,54.3,45.1,54.9,50.4,53.1
30/11/2022,61.01694915,49.5,65.5,54.3,40.7,57.6,51.9,38.1,61.7,75.9,51.7,45.7,53.4,51.7,59.5,52.6
31/10/2022,56.4516129,48.77636753,55.8,46.41918246,44.4,54.8,51.33457144,37.9,61.908121,75.4,46,41.54158654,48.4,49.2,55,49.99596579
30/09/2022,41.97530864,39.8328707,43.7,39.83073337,38.1,54.3,52.96650314,40.6,61.70460473,79,48.1,46.64884166,50,51.2,49.5,48.19671072
31/08/2022,50.6097561,47.83774388,50,45.65086151,38.3,55.5,53.60615265,43.9,59.88795748,81.3,47.5,48.43348237,54.9,57.9,51.9,51.08323958
31/07/2022,41.55844156,40.33319134,34.9,38.59695779,37,57.3,59.36473117,44,60.22389618,87.5,44.8,48.41666709,45.4,49.4,46.9,49.38708872
